#Name;Name mit Ort;Nummer;Globale ID;GKZ;Gemeinde;Teilort;Landkreis;Tarifzonen;Verkehrsmittel;Linien (EFA);Linien (DIVA);Anzahl Linien;Betriebszweige;X-Koordinate;Y-Koordinate
Schillerplatz;Nürtingen Schillerplatz;4304;de:08116:4304;8116049;Nürtingen;Nürtingen;ES;50,60,4,5;"Bus;Ruftaxi";166,181,182,183,185,185A,186,195,RT180,RT181,RT183,RT185;31166_,31181_,31182_,31183_,31185_,31185A,31186_,31195_,50180_,50181_,50183_,50185_;12;31,5;9,339978472;48,6258362
Häfnerstraße;Neuenhaus Häfnerstraße;4477;de:08116:4477;8116081;Aichtal;Neuenhaus;ES;3,4,49,59;"Bus;Nachtbus";167,760,808A,809,809A,N89;31167_,31760_,31808a,31809_,31809a,34089_;6;31,34;9,208456777;48,62405474
Kirche;Neuenhaus Kirche;5000;de:08116:5000;8116081;Aichtal;Neuenhaus;ES;49,59,3,4;"Bus;Nachtbus";167,760,808A,809,809A,N89;31167_,31760_,31808a,31809_,31809a,34089_;6;31,34;9,205724394;48,62261185
Ort;Aich Ort;2001;de:08116:2001;8116081;Aichtal;Aich;ES;49,59,3,4;"Bus;Nachtbus";167,805,808,808A,809,809A,816A,N89;31167_,31805_,31808_,31808a,31809_,31809a,31816a,34089_;8;31,34;9,240344021;48,62335397
Siedlung;Aich Siedlung;2003;de:08116:2003;8116081;Aichtal;Aich;ES;49,59,3,4;Bus;167,805,808,808A,809A,816A;31167_,31805_,31808_,31808a,31809a,31816a;6;31;9,235575531;48,62468576
Riedwiesen;Aich Riedwiesen;5910;de:08116:5910;8116081;Aichtal;Aich;ES;3,4,49,59;Bus;167,805,808,809A;31167_,31805_,31808_,31809a;4;31;9,232377104;48,6341525
Stern;Aich Stern;2007;de:08116:2007;8116081;Aichtal;Aich;ES;49,59,3,4;"Bus;Nachtbus";167,808A,809,809A,N89;31167_,31808a,31809_,31809a,34089_;5;31,34;9,242301734;48,6242761
Schönblick;Grötzingen Schönblick;4473;de:08116:4473;8116081;Aichtal;Grötzingen;ES;3,4,49,59;"Bus;Nachtbus";167,808A,809,809A,N89;31167_,31808a,31809_,31809a,34089_;5;31,34;9,256690061;48,63151988
Bombach;Aich Bombach;4475;de:08116:4475;8116081;Aichtal;Aich;ES;3,4,49,59;"Bus;Nachtbus";167,808A,809,809A,N89;31167_,31808a,31809_,31809a,34089_;5;31,34;9,233034312;48,62075218
Grörach;Neuenhaus Grörach;4476;de:08116:4476;8116081;Aichtal;Neuenhaus;ES;3,4,49,59;"Bus;Nachtbus";167,808A,809,809A,N89;31167_,31808a,31809_,31809a,34089_;5;31,34;9,214142015;48,62443995
Ortsmitte;Grötzingen Ortsmitte;5001;de:08116:5001;8116081;Aichtal;Grötzingen;ES;49,59,3,4;"Bus;Nachtbus";167,808A,809,N89;31167_,31808a,31809_,34089_;4;31,34;9,2617563;48,62741681
Rudolfshöhe;Aich Rudolfshöhe;2000;de:08116:2000;8116081;Aichtal;Aich;ES;49,59,3,4;Bus;167,808A,809A,816A;31167_,31808a,31809a,31816a;4;31;9,245645054;48,63116633
Froschegert;Grötzingen Froschegert;2135;de:08116:2135;8116081;Aichtal;Grötzingen;ES;49,59,3,4;Bus;167,808A,809A,816A;31167_,31808a,31809a,31816a;4;31;9,251908834;48,63308618
Nürtinger Straße;Grötzingen Nürtinger Straße;4471;de:08116:4471;8116081;Aichtal;Grötzingen;ES;3,4,49,59;Bus;167,809A;31167_,31809a;2;31;9,271129429;48,62728717
Bauhof;Nürtingen Bauhof;2941;de:08116:2941;8116049;Nürtingen;Nürtingen;ES;50,60,4,5;Bus;169,184,196;31169_,31184_,31196_;3;31;9,337757926;48,63863025
